esquema,tabla,registros_aprox
public,order_history,1001
public,t_invoice,397
public,t_order,332
public,t_expense,252
public,t_supplier,181
public,t_payrollovertime,110
public,t_contact,67
public,t_client,32
public,t_payroll_history,27
public,t_fixed_expenses_history,24
public,t_payroll,12
public,t_fixed_expenses,12
public,app_versions,10
public,users,9
public,t_vendor_commission_payment,8
public,t_vendor,4
public,t_order_deleted,3
public,t_balance_adjustments,0
public,t_overtime_hours,0
public,t_overtime_hours_audit,0
public,audit_log,0
public,invoice_audit,0
public,t_commission_rate_history,0
public,invoice_status,0
public,order_status,0
