table_name,num_columnas,tamano,comentario
app_versions,13,144 kB,null
audit_log,10,32 kB,Log de auditoría - nueva tabla para tracking
invoice_audit,7,16 kB,null
invoice_status,5,24 kB,null
order_history,10,272 kB,Histórico de cambios en las órdenes de compra
order_status,5,24 kB,null
t_balance_adjustments,10,24 kB,null
t_client,13,80 kB,Tabla de clientes - migrada de Access T_CLIENT
t_commission_rate_history,17,80 kB,null
t_contact,10,104 kB,null
t_expense,14,120 kB,null
t_fixed_expenses,9,24 kB,null
t_fixed_expenses_history,9,32 kB,null
t_invoice,17,216 kB,Facturas - migrada de Access T_INVOICE
t_order,24,184 kB,Órdenes de compra - migrada de Access T_ORDER
t_order_deleted,21,80 kB,Auditoría de órdenes eliminadas permanentemente
t_overtime_hours,9,32 kB,null
t_overtime_hours_audit,12,24 kB,null
t_payroll,19,32 kB,null
t_payroll_history,22,80 kB,null
t_payrollovertime,10,56 kB,null
t_supplier,10,72 kB,null
t_vendor,9,64 kB,null
t_vendor_commission_payment,13,112 kB,null
users,10,96 kB,Usuarios del sistema - nueva tabla para autenticación
