tabla,columna,tipo,max_length,precision,nullable,default_value,es_pk
app_versions,id,integer,null,32,NO,nextval('app_versions_id_seq'::regclass),PK
app_versions,version,character varying,20,null,NO,null,
app_versions,release_date,timestamp without time zone,null,null,NO,now(),
app_versions,is_latest,boolean,null,null,NO,false,
app_versions,is_mandatory,boolean,null,null,NO,false,
app_versions,download_url,text,null,null,NO,null,
app_versions,file_size_mb,numeric,null,10,YES,null,
app_versions,release_notes,text,null,null,YES,null,
app_versions,min_version,character varying,20,null,YES,null,
app_versions,created_by,character varying,100,null,YES,null,
app_versions,is_active,boolean,null,null,NO,true,
app_versions,downloads_count,integer,null,32,YES,0,
app_versions,changelog,jsonb,null,null,YES,null,
audit_log,id,integer,null,32,NO,nextval('audit_log_id_seq'::regclass),PK
audit_log,user_id,integer,null,32,YES,null,
audit_log,table_name,character varying,100,null,YES,null,
audit_log,action,character varying,50,null,YES,null,
audit_log,record_id,integer,null,32,YES,null,
audit_log,old_values,jsonb,null,null,YES,null,
audit_log,new_values,jsonb,null,null,YES,null,
audit_log,ip_address,character varying,45,null,YES,null,
audit_log,user_agent,text,null,null,YES,null,
audit_log,created_at,timestamp without time zone,null,null,YES,CURRENT_TIMESTAMP,
invoice_audit,id,integer,null,32,NO,nextval('invoice_audit_id_seq'::regclass),PK
invoice_audit,invoice_id,integer,null,32,YES,null,
invoice_audit,action,character varying,20,null,YES,null,
invoice_audit,old_values,jsonb,null,null,YES,null,
invoice_audit,new_values,jsonb,null,null,YES,null,
invoice_audit,user_id,integer,null,32,YES,null,
invoice_audit,created_at,timestamp without time zone,null,null,YES,CURRENT_TIMESTAMP,
invoice_status,f_invoicestat,integer,null,32,NO,nextval('invoice_status_f_invoicestat_seq'::regclass),PK
invoice_status,f_name,character varying,255,null,NO,null,
invoice_status,is_active,boolean,null,null,YES,true,
invoice_status,display_order,integer,null,32,YES,0,
invoice_status,created_at,timestamp without time zone,null,null,YES,CURRENT_TIMESTAMP,
order_history,id,integer,null,32,NO,nextval('order_history_id_seq'::regclass),PK
order_history,order_id,integer,null,32,NO,null,
order_history,user_id,integer,null,32,NO,null,
order_history,action,character varying,50,null,NO,null,
order_history,field_name,character varying,100,null,YES,null,
order_history,old_value,text,null,null,YES,null,
order_history,new_value,text,null,null,YES,null,
order_history,change_description,text,null,null,YES,null,
order_history,ip_address,character varying,45,null,YES,null,
order_history,changed_at,timestamp without time zone,null,null,YES,CURRENT_TIMESTAMP,
order_status,f_orderstatus,integer,null,32,NO,nextval('order_status_f_orderstatus_seq'::regclass),PK
order_status,f_name,character varying,255,null,NO,null,
order_status,is_active,boolean,null,null,YES,true,
order_status,display_order,integer,null,32,YES,0,
order_status,created_at,timestamp without time zone,null,null,YES,CURRENT_TIMESTAMP,
t_balance_adjustments,id,integer,null,32,NO,nextval('t_balance_adjustments_id_seq'::regclass),PK
t_balance_adjustments,year,integer,null,32,NO,null,
t_balance_adjustments,month,integer,null,32,NO,null,
t_balance_adjustments,adjustment_type,character varying,50,null,YES,null,
t_balance_adjustments,original_amount,numeric,null,15,YES,null,
t_balance_adjustments,adjusted_amount,numeric,null,15,YES,null,
t_balance_adjustments,difference,numeric,null,15,YES,null,
t_balance_adjustments,reason,text,null,null,YES,null,
t_balance_adjustments,created_by,integer,null,32,YES,null,
t_balance_adjustments,created_at,timestamp without time zone,null,null,YES,CURRENT_TIMESTAMP,
t_client,f_client,integer,null,32,NO,nextval('t_client_f_client_seq'::regclass),PK
t_client,f_name,character varying,255,null,NO,null,
t_client,f_address1,character varying,255,null,YES,null,
t_client,f_address2,character varying,255,null,YES,null,
t_client,f_credit,integer,null,32,YES,0,
t_client,tax_id,character varying,50,null,YES,null,
t_client,phone,character varying,50,null,YES,null,
t_client,email,character varying,255,null,YES,null,
t_client,is_active,boolean,null,null,YES,true,
t_client,created_at,timestamp without time zone,null,null,YES,CURRENT_TIMESTAMP,
t_client,updated_at,timestamp without time zone,null,null,YES,CURRENT_TIMESTAMP,
t_client,created_by,integer,null,32,YES,null,
t_client,updated_by,integer,null,32,YES,null,
t_commission_rate_history,id,integer,null,32,NO,nextval('t_commission_rate_history_id_seq'::regclass),PK
t_commission_rate_history,order_id,integer,null,32,NO,null,
t_commission_rate_history,vendor_id,integer,null,32,NO,null,
t_commission_rate_history,commission_payment_id,integer,null,32,YES,null,
t_commission_rate_history,old_rate,numeric,null,5,NO,null,
t_commission_rate_history,old_amount,numeric,null,12,NO,null,
t_commission_rate_history,new_rate,numeric,null,5,NO,null,
t_commission_rate_history,new_amount,numeric,null,12,NO,null,
t_commission_rate_history,order_subtotal,numeric,null,12,YES,null,
t_commission_rate_history,order_number,character varying,100,null,YES,null,
t_commission_rate_history,vendor_name,character varying,200,null,YES,null,
t_commission_rate_history,changed_by,integer,null,32,NO,null,
t_commission_rate_history,changed_by_name,character varying,200,null,YES,null,
t_commission_rate_history,changed_at,timestamp without time zone,null,null,YES,now(),
t_commission_rate_history,change_reason,text,null,null,YES,null,
t_commission_rate_history,ip_address,character varying,45,null,YES,null,
t_commission_rate_history,is_vendor_removal,boolean,null,null,YES,false,
t_contact,f_contact,integer,null,32,NO,nextval('t_contact_f_contact_seq'::regclass),PK
t_contact,f_client,integer,null,32,YES,null,
t_contact,f_contactname,character varying,255,null,YES,null,
t_contact,f_email,character varying,255,null,YES,null,
t_contact,f_phone,character varying,255,null,YES,null,
t_contact,position,character varying,100,null,YES,null,
t_contact,is_primary,boolean,null,null,YES,false,
t_contact,is_active,boolean,null,null,YES,true,
t_contact,created_at,timestamp without time zone,null,null,YES,CURRENT_TIMESTAMP,
t_contact,updated_at,timestamp without time zone,null,null,YES,CURRENT_TIMESTAMP,
t_expense,f_expense,integer,null,32,NO,nextval('t_expense_f_expense_seq'::regclass),PK
t_expense,f_supplier,integer,null,32,YES,null,
t_expense,f_description,character varying,255,null,YES,null,
t_expense,f_expensedate,date,null,null,YES,null,
t_expense,f_totalexpense,numeric,null,15,YES,0,
t_expense,f_status,character varying,255,null,YES,null,
t_expense,f_paiddate,date,null,null,YES,null,
t_expense,f_paymethod,character varying,255,null,YES,null,
t_expense,f_order,integer,null,32,YES,null,
t_expense,expense_category,character varying,100,null,YES,null,
t_expense,created_at,timestamp without time zone,null,null,YES,CURRENT_TIMESTAMP,
t_expense,updated_at,timestamp without time zone,null,null,YES,CURRENT_TIMESTAMP,
t_expense,created_by,integer,null,32,YES,null,
t_expense,f_scheduleddate,date,null,null,YES,null,
t_fixed_expenses,id,integer,null,32,NO,nextval('t_fixed_expenses_id_seq'::regclass),PK
t_fixed_expenses,expense_type,character varying,50,null,NO,null,
t_fixed_expenses,description,character varying,200,null,YES,null,
