tabla_origen,columna_origen,tabla_destino,columna_destino,nombre_fk,on_delete,on_update
audit_log,user_id,users,id,audit_log_user_id_fkey,NO ACTION,NO ACTION
invoice_audit,user_id,users,id,invoice_audit_user_id_fkey,NO ACTION,NO ACTION
order_history,order_id,t_order,f_order,order_history_order_id_fkey,CASCADE,NO ACTION
order_history,user_id,users,id,order_history_user_id_fkey,NO ACTION,NO ACTION
t_balance_adjustments,created_by,users,id,t_balance_adjustments_created_by_fkey,NO ACTION,NO ACTION
t_client,created_by,users,id,t_client_created_by_fkey,NO ACTION,NO ACTION
t_client,updated_by,users,id,t_client_updated_by_fkey,NO ACTION,NO ACTION
t_commission_rate_history,commission_payment_id,t_vendor_commission_payment,id,t_commission_rate_history_commission_payment_id_fkey,SET NULL,NO ACTION
t_commission_rate_history,order_id,t_order,f_order,t_commission_rate_history_order_id_fkey,NO ACTION,NO ACTION
t_commission_rate_history,vendor_id,t_vendor,f_vendor,t_commission_rate_history_vendor_id_fkey,NO ACTION,NO ACTION
t_contact,f_client,t_client,f_client,t_contact_f_client_fkey,CASCADE,NO ACTION
t_expense,created_by,users,id,t_expense_created_by_fkey,NO ACTION,NO ACTION
t_expense,f_order,t_order,f_order,t_expense_f_order_fkey,NO ACTION,NO ACTION
t_expense,f_supplier,t_supplier,f_supplier,t_expense_f_supplier_fkey,NO ACTION,NO ACTION
t_fixed_expenses,created_by,users,id,t_fixed_expenses_created_by_fkey,NO ACTION,NO ACTION
t_fixed_expenses_history,created_by,users,id,t_fixed_expenses_history_created_by_fkey,NO ACTION,NO ACTION
t_fixed_expenses_history,expense_id,t_fixed_expenses,id,t_fixed_expenses_history_expense_id_fkey,NO ACTION,NO ACTION
t_invoice,created_by,users,id,t_invoice_created_by_fkey,NO ACTION,NO ACTION
t_invoice,f_invoicestat,invoice_status,f_invoicestat,t_invoice_f_invoicestat_fkey,NO ACTION,NO ACTION
t_invoice,f_order,t_order,f_order,t_invoice_f_order_fkey,NO ACTION,NO ACTION
t_order,created_by,users,id,t_order_created_by_fkey,NO ACTION,NO ACTION
t_order,f_client,t_client,f_client,t_order_f_client_fkey,NO ACTION,NO ACTION
t_order,f_contact,t_contact,f_contact,t_order_f_contact_fkey,NO ACTION,NO ACTION
t_order,f_orderstat,order_status,f_orderstatus,t_order_f_orderstat_fkey,NO ACTION,NO ACTION
t_order,f_salesman,t_vendor,f_vendor,t_order_f_salesman_fkey,NO ACTION,NO ACTION
t_order,updated_by,users,id,t_order_updated_by_fkey,NO ACTION,NO ACTION
t_overtime_hours,created_by,users,id,t_overtime_hours_created_by_fkey,NO ACTION,NO ACTION
t_overtime_hours,updated_by,users,id,t_overtime_hours_updated_by_fkey,NO ACTION,NO ACTION
t_overtime_hours_audit,changed_by,users,id,t_overtime_hours_audit_changed_by_fkey,NO ACTION,NO ACTION
t_payroll,created_by,users,id,t_payroll_created_by_fkey,NO ACTION,NO ACTION
t_payroll,updated_by,users,id,t_payroll_updated_by_fkey,NO ACTION,NO ACTION
t_payroll_history,created_by,users,id,t_payroll_history_created_by_fkey,NO ACTION,NO ACTION
t_payroll_history,f_payroll,t_payroll,f_payroll,t_payroll_history_f_payroll_fkey,NO ACTION,NO ACTION
t_payrollovertime,created_by,users,id,t_payrollovertime_created_by_fkey,NO ACTION,NO ACTION
t_payrollovertime,employee_id,t_payroll,f_payroll,t_payrollovertime_employee_id_fkey,NO ACTION,NO ACTION
t_vendor,f_user_id,users,id,t_vendor_f_user_id_fkey,NO ACTION,NO ACTION
t_vendor_commission_payment,created_by,users,id,fk_commission_created_by,NO ACTION,NO ACTION
t_vendor_commission_payment,f_order,t_order,f_order,fk_commission_order,NO ACTION,NO ACTION
t_vendor_commission_payment,f_vendor,t_vendor,f_vendor,fk_commission_vendor,NO ACTION,NO ACTION
t_vendor_commission_payment,updated_by,users,id,fk_commission_updated_by,NO ACTION,NO ACTION
