tabla,nombre_trigger,evento,momento,accion
app_versions,trigger_set_latest_version,UPDATE,BEFORE,EXECUTE FUNCTION set_latest_version()
app_versions,trigger_set_latest_version,INSERT,BEFORE,EXECUTE FUNCTION set_latest_version()
t_client,update_client_updated_at,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
t_contact,update_contact_updated_at,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
t_expense,trigger_expense_scheduled_date,INSERT,BEFORE,EXECUTE FUNCTION calculate_scheduled_date()
t_expense,trigger_expense_scheduled_date,UPDATE,BEFORE,EXECUTE FUNCTION calculate_scheduled_date()
t_expense,update_expense_updated_at,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
t_expense,z_expense_auto_pay_zero_credit,UPDATE,BEFORE,EXECUTE FUNCTION auto_pay_zero_credit_expense()
t_expense,z_expense_auto_pay_zero_credit,INSERT,BEFORE,EXECUTE FUNCTION auto_pay_zero_credit_expense()
t_fixed_expenses,fixed_expense_history_trigger,DELETE,AFTER,EXECUTE FUNCTION track_fixed_expense_changes()
t_fixed_expenses,fixed_expense_history_trigger,INSERT,AFTER,EXECUTE FUNCTION track_fixed_expense_changes()
t_fixed_expenses,fixed_expense_history_trigger,UPDATE,AFTER,EXECUTE FUNCTION track_fixed_expense_changes()
t_invoice,trigger_calculate_due_date,UPDATE,BEFORE,EXECUTE FUNCTION calculate_invoice_due_date()
t_invoice,trigger_calculate_due_date,INSERT,BEFORE,EXECUTE FUNCTION calculate_invoice_due_date()
t_invoice,trigger_update_invoice_status,INSERT,BEFORE,EXECUTE FUNCTION update_invoice_status()
t_invoice,trigger_update_invoice_status,UPDATE,BEFORE,EXECUTE FUNCTION update_invoice_status()
t_invoice,trigger_update_order_status_unified,INSERT,AFTER,EXECUTE FUNCTION update_order_status_from_invoices()
t_invoice,trigger_update_order_status_unified,UPDATE,AFTER,EXECUTE FUNCTION update_order_status_from_invoices()
t_invoice,trigger_update_order_status_unified,DELETE,AFTER,EXECUTE FUNCTION update_order_status_from_invoices()
t_invoice,update_invoice_updated_at,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
t_order,record_order_history_trigger,INSERT,AFTER,EXECUTE FUNCTION record_order_history()
t_order,record_order_history_trigger,UPDATE,AFTER,EXECUTE FUNCTION record_order_history()
t_order,record_order_history_trigger,DELETE,AFTER,EXECUTE FUNCTION record_order_history()
t_order,set_order_audit_fields_trigger,UPDATE,BEFORE,EXECUTE FUNCTION set_order_audit_fields()
t_order,set_order_audit_fields_trigger,INSERT,BEFORE,EXECUTE FUNCTION set_order_audit_fields()
t_order,trigger_create_commission_on_order,INSERT,AFTER,EXECUTE FUNCTION create_commission_on_order_creation()
t_order,trigger_sync_commission_from_order,UPDATE,AFTER,EXECUTE FUNCTION sync_commission_rate_from_order()
t_order,trigger_update_commission_on_status_change,UPDATE,AFTER,EXECUTE FUNCTION update_commission_on_order_status_change()
t_order,trigger_update_commission_on_vendor_change,UPDATE,BEFORE,EXECUTE FUNCTION update_commission_on_vendor_change()
t_order,update_order_updated_at,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
t_overtime_hours,trigger_overtime_audit,INSERT,AFTER,EXECUTE FUNCTION audit_overtime_hours()
t_overtime_hours,trigger_overtime_audit,DELETE,AFTER,EXECUTE FUNCTION audit_overtime_hours()
t_overtime_hours,trigger_overtime_audit,UPDATE,AFTER,EXECUTE FUNCTION audit_overtime_hours()
t_payroll,payroll_history_trigger,UPDATE,AFTER,EXECUTE FUNCTION track_payroll_changes()
t_payroll,payroll_history_trigger,INSERT,AFTER,EXECUTE FUNCTION track_payroll_changes()
t_supplier,update_supplier_updated_at,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
t_vendor,update_vendor_updated_at,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
t_vendor_commission_payment,trg_before_commission_delete,DELETE,BEFORE,EXECUTE FUNCTION fn_log_vendor_removal()
t_vendor_commission_payment,trigger_sync_commission_rate,UPDATE,AFTER,EXECUTE FUNCTION sync_commission_rate()
