# Drive V2 - Benchmark de Rendimiento
Fecha: 2026-03-10 19:41:34
Iteraciones: 5
Carpetas testeadas: 1 raiz + 5 subcarpetas
Total mediciones: 60
Tiempo total benchmark: 29,815ms

## Resumen por Escenario (promedios en ms)

| Escenario | N | P1 Data | P2 Orders | P3 Render | TOTAL | Carpetas | Archivos |
|-----------|---|---------|-----------|-----------|-------|----------|----------|
| Raiz (cold) | 5 | 231 | 255 | 1 | **499** | 5 | 1 |
| Raiz (warm) | 5 | 206 | 0 | 1 | **217** | 5 | 1 |
| Subcarpeta (cold) | 25 | 224 | 0 | 1 | **235** | 1 | 10 |
| Subcarpeta (warm) | 25 | 220 | 0 | 0 | **232** | 1 | 10 |

## Cold vs Warm (cache frio vs caliente)

- Cold promedio: **279ms**
- Warm promedio: **229ms**
- Mejora cache: **17.8%**

| Fase | Cold (ms) | Warm (ms) | Mejora |
|------|-----------|-----------|--------|
| P1 Data | 225 | 218 | 3.1% |
| P2 Orders | 42 | 0 | 100.0% |
| P3 Render | 1 | 1 | 26.1% |
| **TOTAL** | **279** | **229** | **17.8%** |

## Detalle por Carpeta (cold, promedio)

| Carpeta | P1 Data | P2 Orders | P3 Render | TOTAL | Carpetas | Archivos |
|---------|---------|-----------|-----------|-------|----------|----------|
| IMA MECATRONICA | 231 | 255 | 1 | **499** | 5 | 1 |
| New2 | 232 | 0 | 0 | **244** | 3 | 2 |
| Nueva carpeta | 234 | 0 | 0 | **244** | 0 | 9 |
| Test 3 | 241 | 0 | 1 | **252** | 0 | 13 |
| Test 4 | 208 | 0 | 1 | **220** | 1 | 9 |
| TEst5 | 205 | 0 | 1 | **217** | 1 | 19 |

## Datos Crudos

| # | Escenario | Carpeta | Iter | P1 | P2 | P3 | Total | F | A | OQ | Cache |
|---|-----------|---------|------|----|----|-------|-------|---|---|----|-------|
| 1 | Raiz (cold) | IMA MECATRONICA | 1 | 292 | 337 | 1 | **642** | 5 | 1 | 4 | cold |
| 2 | Raiz (warm) | IMA MECATRONICA | 1 | 249 | 0 | 1 | **260** | 5 | 1 | 0 | warm |
| 3 | Subcarpeta (cold) | New2 | 1 | 280 | 0 | 0 | **290** | 3 | 2 | 0 | cold |
| 4 | Subcarpeta (warm) | New2 | 1 | 207 | 0 | 1 | **218** | 3 | 2 | 0 | warm |
| 5 | Subcarpeta (cold) | Nueva carpeta | 1 | 245 | 0 | 0 | **255** | 0 | 9 | 0 | cold |
| 6 | Subcarpeta (warm) | Nueva carpeta | 1 | 210 | 0 | 0 | **222** | 0 | 9 | 0 | warm |
| 7 | Subcarpeta (cold) | Test 3 | 1 | 254 | 0 | 0 | **264** | 0 | 13 | 0 | cold |
| 8 | Subcarpeta (warm) | Test 3 | 1 | 326 | 0 | 1 | **336** | 0 | 13 | 0 | warm |
| 9 | Subcarpeta (cold) | Test 4 | 1 | 221 | 0 | 1 | **237** | 1 | 9 | 0 | cold |
| 10 | Subcarpeta (warm) | Test 4 | 1 | 297 | 0 | 1 | **308** | 1 | 9 | 0 | warm |
| 11 | Subcarpeta (cold) | TEst5 | 1 | 210 | 0 | 1 | **223** | 1 | 19 | 0 | cold |
| 12 | Subcarpeta (warm) | TEst5 | 1 | 198 | 0 | 1 | **213** | 1 | 19 | 0 | warm |
| 13 | Raiz (cold) | IMA MECATRONICA | 2 | 220 | 225 | 1 | **461** | 5 | 1 | 4 | cold |
| 14 | Raiz (warm) | IMA MECATRONICA | 2 | 195 | 0 | 1 | **207** | 5 | 1 | 0 | warm |
